Main Data
#
# variable definitions
#
height # z # m # Z1 # 0 # 99999
wind speed # speed # m/s # G1 # 0 # 99.99
wind direction # dir # deg # R1 # 0 # 999.9
wind W # W # m/s # S # 0 # 99.99
sigma W # sigW # m/s # S # 0 # 99.99
backscatter # bck #  # S # 0 # 9.99E+37
error code # - - - - - - - - groundclutter - - - - - - -  #  # E # IIIIIIIIWIIIIIII
#
# beginning of data block
#

2012-08-15 00:30:00 00:30:00
#    z  speed    dir      W   sigW       bck   error 
   500   5.09  150.3  -0.11   0.17  8.02E+05       0
   510   5.25  146.0  -0.08   0.23  9.99E+37       0
   520   5.37  141.7  -0.14   0.23  9.60E+05       0
   530   5.46  140.3  -0.17   0.27  9.99E+37       0
   540   5.59  135.0  -0.08   0.25  9.99E+37       0
   550   5.47  136.0   0.15   0.33  9.99E+37       0
   560   5.41  138.6   0.02   0.34  9.99E+37       0
   570   5.55  139.4  -0.11  99.99  9.99E+37       0
   580   5.61  139.5  -0.23  99.99  9.99E+37       0
   590   5.68  134.3  -0.01  99.99  9.99E+37       0
   600   5.68  132.9  -0.02  99.99  9.99E+37       0
   610   5.73  134.8  -0.05   0.36  9.99E+37       0
   620   5.72  133.6   0.00   0.41  9.99E+37       0
   630   5.98  127.9   0.19   0.35  9.99E+37       0
   640   6.03  125.7   0.22   0.27  9.99E+37       0
   650   6.39  121.7   0.06   0.37  9.99E+37       0
   660   7.29  119.0  -0.05  99.99  2.38E+06       0
   670  99.99  999.9   0.10   0.24  2.80E+06       0
   680  99.99  999.9   0.22   0.32  9.99E+37       0
   690  99.99  999.9   0.20   0.21  9.99E+37       0
   700  99.99  999.9  99.99  99.99  9.99E+37       0
   710  99.99  999.9  99.99  99.99  9.99E+37       0
   720  99.99  999.9  99.99  99.99  9.99E+37       0
   730  99.99  999.9  99.99  99.99  9.99E+37       0
   740  99.99  999.9  99.99  99.99  9.99E+37       0
   750  99.99  999.9  99.99  99.99  9.99E+37       0
   760  99.99  999.9  99.99  99.99  9.99E+37       0
   770  99.99  999.9  99.99  99.99  9.99E+37       0
   780  99.99  999.9  99.99  99.99  9.99E+37       0
   790  99.99  999.9  99.99  99.99  9.99E+37       0
   800  99.99  999.9  99.99  99.99  9.99E+37       0
   810  99.99  999.9  99.99  99.99  9.99E+37       0
   820  99.99  999.9  99.99  99.99  9.99E+37       0
   830  99.99  999.9  99.99  99.99  9.99E+37       0
